agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	425500072525001	VT-W6W   46WELL 8A	42.91674700	-72.88009850	T	NAD83					
USGS	425502072321701	VT-DWW  106	42.91730350	-72.53758969	S	NAD83	 433	10	NGVD29	320	320
USGS	425510072321801	VT-PUW  125	42.91952570	-72.53786748	S	NAD83	 423	10	NGVD29	485	485
USGS	425519072320701	VT-DWW  103	42.92202570	-72.53481190	S	NAD83	 375	1.6	NAVD88	545	545
USGS	425521072320301	VT-DWW  109	42.92258126	-72.53370070	S	NAD83	 354	10	NGVD29	345	345
USGS	425522072533401	VT-W6W   44WELL 21	42.92285799	-72.89232110	T	NAD83					
USGS	425522073104201	VT-BIW   14	42.92285640	-73.17788490	T	NAD83					
USGS	425531072322001	VT-DWW  102	42.92535900	-72.53842300	S	NAD83	 367	10	NGVD29	42	42
USGS	425533072321801	VT-DWW  111	42.92591456	-72.53786748	S	NAD83	 374	10	NGVD29	247	247
USGS	425540072321401	VT-DWW  105	42.92785899	-72.53675640	S	NAD83	 387	10	NGVD29	195	195
USGS	425544072320901	VT-DWW  104	42.92897009	-72.53536740	S	NAD83	 394	10	NGVD29	400	400
USGS	425547072321601	VT-DWW  100	42.92980340	-72.53731190	S	NAD83	 387	10	NGVD29	540	540
USGS	425548072321801	VT-DWW  101	42.93008119	-72.53786749	S	NAD83	 387	10	NGVD29	445	445
USGS	425550072510501	VT-DVW   12WELL 1A	42.93063580	-72.85093100	T	NAD83					
USGS	425552072510701	VT-DVW   13WELL B	42.93119138	-72.85148660	T	NAD83					
USGS	425603072430101	VT-DWX    1	42.93424740	-72.71648270	S	NAD83	 223	10	NGVD29		62
USGS	425639072320901	VT-DWW  110	42.94424770	-72.53536740	S	NAD83	 315	10	NGVD29	700	700
USGS	425644072315801	VT-DWX    2	42.94563660	-72.53231180	S	NAD83	 225	10	NGVD29		50
USGS	425645072530501	VT-DVW   14	42.94591326	-72.88426550	T	NAD83					
USGS	425649072532201	VT-DVW   20	42.94702430	-72.88898780	T	NAD83					
USGS	425652072522001	VT-DVW   11WELL	42.94785770	-72.87176509	T	NAD83					
USGS	425657072523101	VT-DVW   25	42.94924659	-72.87482070	T	NAD83					
USGS	425718072524501	VT-DVW   10WELL 1	42.95507980	-72.87870979	T	NAD83					
USGS	425732072533501	VT-DVW   21CARINTHIA WELL -	42.95896860	-72.89259910	T	NAD83					
USGS	425736073094601	VT-BIW   12WLFLD(1-5) 5469	42.96007840	-73.16232910	T	NAD83					
USGS	425737072312701	VT-DWW  107	42.96035870	-72.52370050	S	NAD83				675	675
USGS	425738072532601	VT-DVW   28MAIN WELL D (2ND	42.96063526	-72.89009900	T	NAD83					
USGS	425738072533601	VT-DVW   22MAIN WELL	42.96063520	-72.89287690	T	NAD83					
USGS	425741072311001	VT-PUW  115	42.96146980	-72.51897819	F	NAD83	 253	10	NGVD29	320	320
USGS	425745072313001	VT-DWW  113	42.96258090	-72.52453388	S	NAD83	 256	10	NGVD29	340	340
USGS	425753072311201	VT-PUW  116	42.96480314	-72.51953380	F	NAD83	 262	10	NGVD29	395	395
USGS	425755072305701	VT-PUX    1	42.96535870	-72.51536700	S	NAD83	 220	10	NGVD29		50
USGS	425755072312901	VT-DWW  108	42.96535868	-72.52425610	S	NAD83	 328	10	NGVD29	300	300
USGS	425805072312101	VT-PUW  118	42.96813640	-72.52203380	F	NAD83	 364	10	NGVD29	761	761
USGS	425805072530001	VT-DVW   27ROCK WELL-MAIN W	42.96813519	-72.88287670	T	NAD83					
USGS	425808072303401	VT-PUW  122	42.96896980	-72.50897800	F	NAD83	 305	10	NGVD29	508	508
USGS	425811072533201	VT-DVW   15	42.96980179	-72.89176580	T	NAD83					
USGS	425813072293101	VT-PUX    2	42.97035869	-72.49147760	S	NAD83	 270	10	NGVD29		80
USGS	425823072304901	VT-PUW    3	42.97313640	-72.51314470	S	NAD83	 340	10	NGVD29	140	140
USGS	425824072533501	VT-DVW   26	42.97341284	-72.89259920	T	NAD83					
USGS	425828072285801	VT-PUW  123	42.97452529	-72.48231080	F	NAD83	 288	10	NGVD29	229	229
USGS	425838072311801	VT-PUW  124	42.97730300	-72.52120048	F	NAD83	 420	10	NGVD29	129	129
USGS	425840072531301	VT-DVW   24WELL 10	42.97785726	-72.88648790	T	NAD83					
USGS	425840072531801	VT-DVW   23WELL 1	42.97785725	-72.88787690	T	NAD83					
USGS	425843072283501	VT-PUW  117	42.97869190	-72.47592180	F	NAD83	 305	10	NGVD29	727	727
USGS	425848072282601	VT-PUW  121	42.98008077	-72.47342180	F	NAD83	 305	010	NGVD29	267	267
USGS	425848072283701	VT-PUW  120	42.98008078	-72.47647740	F	NAD83	 315	10	NGVD29	160	160
USGS	425852072280201	VT-PUW  119	42.98119185	-72.46675500	F	NAD83	 288	10	NGVD29	170	170
USGS	425923072282601	VT-PUW  114	42.98980290	-72.47342180	F	NAD83	 318	10	NGVD29	108	108
USGS	425926072284201	VT-PUX    3	42.99063624	-72.47786630	S	NAD83	 285	10	NGVD29		15
USGS	430028072275601	VT-PUW  106	43.00785818	-72.46508838	F	NAD83	 508	10	NGVD29	740	740
USGS	430030072275901	VT-PUW  105	43.00841370	-72.46592170	F	NAD83	 512	10	NGVD29	495	495
USGS	430034072273101	VT-PUW  111	43.00952479	-72.45814380	F	NAD83	 276	10	NGVD29	280	280
USGS	430035072275701	VT-PUW  104	43.00980258	-72.46536620	F	NAD83	 475	10	NGVD29	445	445
USGS	430035072275901	VT-PUW  110	43.00980258	-72.46592170	F	NAD83	 475	10	NGVD29	72	72
USGS	430037072273201	VT-PUW  108	43.01035810	-72.45842160	F	NAD83	 361	10	NGVD29	497	497
USGS	430039072275801	VT-PUW  101	43.01091367	-72.46564400	F	NAD83	 472	10	NGVD29	370	370
USGS	430040072274701	VT-PUW  100	43.01119140	-72.46258840	F	NAD83	 413	10	NGVD29	41	41
USGS	430044072272701	VT-PUW  102	43.01230250	-72.45703270	F	NAD83	 295	10	NGVD29	121	121
USGS	430050072281301	VT-PUW  112	43.01396918	-72.46981068	F	NAD83	 551	10	NGVD29	340	340
USGS	430058072273501	VT-PUW  109	43.01619130	-72.45925498	F	NAD83	 295	10	NGVD29	375	375
USGS	430100072273701	VT-PUW  107	43.01674687	-72.45981050	F	NAD83	 315	10	NGVD29	600	600
USGS	430109072281101	VT-PUW  103	43.01924685	-72.46925510	F	NAD83	 532	10	NGVD29	130	130
USGS	430115072274601	VT-WSW  119	43.02091346	-72.46231059	S	NAD83	 324	10	NGVD29	200	200
USGS	430128072280701	VT-WSW  128	43.02452450	-72.46814400	S	NAD83	 492	10	NGVD29	320	320
USGS	430143072280901	VT-WSW  115	43.02869109	-72.46869958	S	NAD83	 472	10	NGVD29	105	105
USGS	430146072280901	VT-WSW  105	43.02952440	-72.46869958	S	NAD83	 492	10	NGVD29	162	162
USGS	430226072275501	VT-WSW  116	43.04063528	-72.46481070	S	NAD83	 374	10	NGVD29	229	229
USGS	430229072275501	VT-WSW  112	43.04146860	-72.46481070	S	NAD83	 289	10	NGVD29	179	179
USGS	430237072270601	VT-WSW  126	43.02202450	-72.46036610	S	NAD83	 295	10	NGVD29	320	320
USGS	430247072400501	VT-TQW   10	43.04646808	-72.66759308	T	NAD83					
USGS	430249072400301	VT-TQW   11	43.04702360	-72.66703750	T	NAD83					
USGS	430250072400501	VT-TQW   12	43.04730139	-72.66759309	T	NAD83					
USGS	430251072281001	VT-WSW  118	43.04757960	-72.46897739	S	NAD83	 324	10	NGVD29	605	605
USGS	430301072281601	VT-WSX    4	43.05035730	-72.47064409	S	NAD83	 338	10	NGVD29		40
USGS	430322073074901	VT-ARW   11ROCK WELL	43.05618869	-73.12982830	T	NAD83					
USGS	430331072280601	VT-WSW  106	43.05869048	-72.46786628	S	NAD83	 236	10	NGVD29	704	704
USGS	430337072280401	VT-WSW  120	43.06035710	-72.46731070	S	NAD83	 315	10	NGVD29	100	100
USGS	430345072284501	VT-WSW  101	43.06257930	-72.47869980	S	NAD83	 452	10	NGVD29	60	60
USGS	430350072274501	VT- WS   01	43.06397220	-72.46263889	5	NAD83	 280	 10	NGVD29	74	74
USGS	430358072283701	VT-WSW  100	43.06619030	-72.47647750	S	NAD83	 551	10	NGVD29	350	350
USGS	430403072281601	VT-WSX    5	43.06757919	-72.47064410	S	NAD83	 390	10	NGVD29		5
USGS	430417072275501	VT-WSW  107	43.07146798	-72.46481070	S	NAD83	 312	10	NGVD29	117	117
USGS	430505072260701	VT-WSX    1	43.08480098	-72.43481040	S	NAD83	 256	10	NGVD29		106.5
USGS	430505072453101	VT-JAW   10WELL	43.08480038	-72.75815110	T	NAD83					
USGS	430507073083501	VT-ARW   13	43.08535500	-73.14260640	T	NAD83					
USGS	430508072262101	VT-WSW  102	43.08563430	-72.43869930	S	NAD83	 255	10	NGVD29	308	308
USGS	430508073083301	VT-ARW   14	43.08563280	-73.14205078	T	NAD83					
USGS	430509072271501	VT-WSW  109	43.08591210	-72.45369949	S	NAD83	 400	1.6	NAVD88	300	300
USGS	430509073083501	VT-ARW   15WELL 3	43.08591059	-73.14260640	T	NAD83					
USGS	430512072272501	VT-WSW  108	43.08674540	-72.45647730	S	NAD83	 390	1.6	NAVD88	170	170
USGS	430529072272301	VT-WSX    6	43.09146756	-72.45592170	S	NAD83	 390	10	NGVD29		26
USGS	430533072263301	VT-WSW  110	43.09257860	-72.44203269	S	NAD83	 253	1.6	NAVD88	415	415
USGS	430542072264301	VT-WSW  124	43.09507857	-72.44481050	S	NAD83	 236	10	NGVD29	180	181
USGS	430551072262901	VT-WSW  111	43.09757850	-72.44092158	S	NAD83	 221	1.6	NAVD88	745	745
USGS	430557072263901	VT-WSW  114	43.09924515	-72.44369940	S	NAD83	 230	10	NGVD29	142	142
USGS	430618072273101	VT-WSW  138	43.10507840	-72.45814400	T	NAD83					
USGS	430618072273301	VT-WSW  137	43.10507840	-72.45869959	T	NAD83					
USGS	430630072541501	VT-S3W   17WELL 7	43.10841060	-72.90371118	T	NAD83					
USGS	430633072263301	VT-WSW  127	43.10924495	-72.44203270	S	NAD83	 270	10	NGVD29	75	75
USGS	430633072272001	VT-WSW  104	43.10924497	-72.45508840	S	NAD83	 465	10	NGVD29	40	40
USGS	430635072540001	VT-S3W   21WELL 22	43.10979950	-72.89954439	T	NAD83					
USGS	430637072541901	VT-S3W   18WELL 6	43.11035504	-72.90482230	T	NAD83					
USGS	430639072542301	VT-S3W   19WELL 12	43.11091059	-72.90593348	T	NAD83					
USGS	430640072540001	VT-S3W   20WELL 14	43.11118838	-72.89954440	T	NAD83					
USGS	430640072544501	VT-S3W   10WELL 18	43.11118834	-72.91204480	T	NAD83					
USGS	430641072544901	VT-S3W   11WELL 17	43.11146610	-72.91315590	T	NAD83					
USGS	430645072543601	VT-S3W   12WELL 16	43.11257720	-72.90954470	T	NAD83					
USGS	430650072543901	VT-S3W   13WELL 9	43.11396608	-72.91037800	T	NAD83					
USGS	430655072271601	VT-WSW  121	43.11535596	-72.45397730	S	NAD83	 311	10	NGVD29	188	188
USGS	430702072261301	VT-WSW  123	43.11730030	-72.43647710	S	NAD83	 328	10	NGVD29	590	590
USGS	430702072272201	VT-WSW  125	43.11730037	-72.45564400	S	NAD83	 374	10	NGVD29	300	300
USGS	430702072274701	VT-WSW  134WELL	43.11730038	-72.46258850	T	NAD83					
USGS	430705072272301	VT-WSW  117	43.11813368	-72.45592180	S	NAD83	 394	10	NGVD29	198	198
USGS	430711072272401	VT-WSW  122	43.11980030	-72.45619959	S	NAD83	 433	10	NGVD29	195	195
USGS	430714072264401	VT-WSX    8	43.12063360	-72.44508830	F	NAD83	 262	10	NGVD29		120
USGS	430714072532101	VT-X3W   10WEL4 STRATTON WE	43.12063269	-72.88871078	T	NAD83					
USGS	430720072271801	VT-WSW  103	43.12230026	-72.45453290	S	NAD83	 472	1.6	NAVD88	262	262
USGS	430721072264401	VT-WSX    7	43.12257800	-72.44508840	F	NAD83	 262	10	NGVD29		100
USGS	430721072275101	VT-WSW  113	43.12257805	-72.46369968	S	NAD83	 394	10	NGVD29	478	478
USGS	430724072262901	VT-WSX    3	43.12341130	-72.44092160	S	NAD83	 322	10	NGVD29		50.5
USGS	430725072530001	VT-X3W   15WELL 1	43.12368820	-72.88287728	T	NAD83					
USGS	430725072534701	VT-S3W   16WELL 33	43.12368818	-72.89593320	T	NAD83					
USGS	430726072263101	VT-WSX    2	43.12396688	-72.44147720	S	NAD83	 255	10	NGVD29		25.5
USGS	430726072534901	VT-RKW  115	43.12396595	-72.89648880	T	NAD83					
USGS	430727072535001	VT-S3W   15WELL 31	43.12424370	-72.89676658	T	NAD83					
USGS	430728072535201	VT-S3W   14WELL 30	43.12452150	-72.89732220	T	NAD83					
USGS	430728072535401	VT-RKW  116	43.12452149	-72.89787770	T	NAD83					
USGS	430732072530301	VT-X3W   11WELL 3	43.12563260	-72.88371060	T	NAD83					
USGS	430735072265101	VT-WSX    9	43.12646680	-72.44703280	F	NAD83	 262	 10	NGVD29		120
USGS	430740072530301	VT-X3W   12WELL 2	43.12785480	-72.88371070	T	NAD83					
USGS	430746072263701	VT-RKW  120	43.12957778	-72.44309440	5	NAD83	 252	 10	NGVD29	22.4	24.5
USGS	430759072303901	VT-RKW  119WELL	43.13313340	-72.51036700	T	NAD83					
USGS	430804072264701	VT-RKW  113	43.13452220	-72.44592170	S	NAD83	 315	 10	NGVD29	80	80
USGS	430804072264702	VT-RKW    5	43.13452220	-72.44592170	S	NAD83	 325	10	NGVD29	60	60
USGS	430807072532101	VT-X3W   17WELL 2	43.13535467	-72.88871080	T	NAD83					
USGS	430808072305101	VT-RKW  114WELL	43.13563334	-72.51370047	T	NAD83					
USGS	430808072532501	VT-X3W   16WELL 3	43.13563240	-72.88982197	T	NAD83					
USGS	430813072301901	VT-RKW  121	43.13708330	-72.50558330	5	NAD83	 443	 10	NGVD29	37.6	39
USGS	430826072293701	VT-RKW    4	43.14063327	-72.49314448	S	NAD83	 440	10	NGVD29	43	43
USGS	430843072503301	VT-JAW   11	43.14535459	-72.84204280	T	NAD83					
USGS	430933072300001	VT-RKW  117	43.15924399	-72.49953350	T	NAD83					
USGS	430935073031901	VT-MCW   10WELL 2	43.15979860	-73.05482648	T	NAD83					
USGS	430940073031901	VT-MCW   11WELL1	43.16118747	-73.05482648	T	NAD83					
USGS	430947072271501	VT-RKW  109	43.16313277	-72.45369960	S	NAD83	 298	 10	NGVD29	240	240
USGS	431003072273001	VT-RKW  101	43.16757710	-72.45786640	S	NAD83	 435	 10	NGVD29	496	496
USGS	431005072273001	VT-RKW  106	43.16813267	-72.45786640	S	NAD83	 435	 10	NGVD29	136	136
USGS	431058072272201	VT-RKW  118WELL POINT	43.18285459	-72.45564420	T	NAD83					
USGS	431059072275001	VT-RKX    2	43.18313237	-72.46342200	S	NAD83	 295	 10	NGVD29		30
USGS	431100072270001	VT-RKW    7	43.18341010	-72.44953298	S	NAD83	 300	 10	NGVD29	215	215
USGS	431100072272901	VT-RKW  102	43.18341010	-72.45758860	S	NAD83	 322	10.	NGVD29	125	125
