agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	373830113090801	 (C-36-12)25bdd- 1	37.64164379	-113.15300610	F	NAD83	 5540	 10	NGVD29	300	
USGS	373832109255101	 (D-36-22)23acc- 2	37.64221965	-109.46484330	T	NAD83	 6160.00	 40	NGVD29	150	150
USGS	373833109274901	 (D-36-22)23bcc- 1	37.64249738	-109.41428600	T	NAD83	 6160.00	40	NGVD29	165	165
USGS	373836109282101	 (D-36-22)23bca- 1	37.64333075	-109.47317700	T	NAD83	 6200.00	40	NGVD29	120	120
USGS	373840112260801	 (C-36- 5)29ddc- 1	37.64497979	-112.43631830	T	NAD83	 6910.00	20	NGVD29	175.	175
USGS	373841113411501	 (C-36-16)19abc- 1	37.64469610	-113.68829920	S	NAD83	 5230.00	  5	NGVD29	502	502
USGS	373842112261401	 (C-36- 5)29dcd- 1	37.64497977	-112.43798500	F	NAD83	 6940	 20	NGVD29	216	
USGS	373843109282301	 (D-36-22)23bcb- 1	37.64527515	-109.47373250	T	NAD83	 6220.00	40	NGVD29	150	150
USGS	373844109282101	 (D-36-22)23bda- 1	37.64555290	-109.47317700	T	NAD83	 6205.00	40	NGVD29	150	150
USGS	373845109353701	 (D-36-21)22bda- 1	37.64582976	-109.59429200	F	NAD83	 5842.00	 20	NGVD29	5874	
USGS	373845112225201	 (C-36- 5)28cda- 1	37.64581369	-112.38187120	S	NAD83	 6960	20	NGVD29	242	242
USGS	373846109270701	(D-36-22)24bac-1	37.64611110	-109.45194440	U	NAD83					
USGS	373847112262601	 (C-36- 5)29dcb- 1	37.64636860	-112.44131850	S	NAD83	 7020.00	20	NGVD29	350	350
USGS	373848113390301	 (C-36-16)21abb- 1	37.64664084	-113.65163130	S	NAD83	 5215.00	  2	NGVD29	351	351
USGS	373850113311001	 (C-36-15)27abb- 1	37.64719750	-113.52023800	F	NAD83	 5424.00	 10	NGVD29	66.0	66.0
USGS	373851113133201	(C-36-12)29abb-1	37.64750000	-113.22555560	U	NAD83					
USEPA	373852113132801	(C-36-29)12abb-1	37.64775479	-113.22523000	U	NAD83	 5515	 10	NGVD29		
USGS	373853113380101	 (C-36-16)22baa- 1	37.64802985	-113.63440850	F	NAD83	 5214.48	.01	NGVD29	79.0	
USGS	373853113380102	 (C-36-16)22baa- 2	37.64802985	-113.63440850	S	NAD83	 5214.00	  5	NGVD29	200	200
USGS	373854113351101	 (C-36-15)19ccc- 1	37.64830800	-113.58718470	S	NAD83	 5233.22	.01	NGVD29	217	217
USGS	373854113352801	 (C-36-16)13ddc- 1	37.64830798	-113.59190700	S	NAD83	 5218.00	  5	NGVD29	403	403
USGS	373854113401001	 (C-36-16) 20abb- 1	37.64830730	-113.67024300	R	NAD83	 5220	  5	NGVD29	697	697
USGS	373854113411501	 (C-36-16)19abb- 1	37.64830715	-113.68829930	S	NAD83	 5226.34	.01	NGVD29	352	352
USGS	373855109025201	 (D-36-26)22baa- 1	37.64860277	-109.04844320	F	NAD83	 6623.00	 20	NGVD29	6394	
USGS	373855109041601	 (D-36-26)21bab- 1	37.64860340	-109.07177700	F	NAD83	 6593.00	 20	NGVD29	6370	
USGS	373855109160301	 (D-36-24)22bax- 1	37.64860828	-109.26817000	F	NAD83	 6096.00	 20	NGVD29	6228	
USGS	373855113093801	 (C-36-12)24ccc- 1	37.64858814	-113.16133970	T	NAD83	 5495.00	50	NGVD29		
USGS	373855113130501	 (C-36-12)20ddc- 1	37.64858810	-113.21884100	F	NAD83	 5476	5.0	NGVD29		
